2021-08-28 14:20:15,180 epoch 21 done, accu_1 = 0.239873, accu_10 = 0.603550
2021-08-28 14:22:12,227 epoch 22 done, accu_1 = 0.241010, accu_10 = 0.604688
2021-08-28 14:24:06,909 epoch 23 done, accu_1 = 0.242148, accu_10 = 0.604461
2021-08-28 14:26:01,019 epoch 24 done, accu_1 = 0.243059, accu_10 = 0.606054
2021-08-28 14:27:55,472 epoch 25 done, accu_1 = 0.244879, accu_10 = 0.606054
2021-08-28 14:29:49,966 epoch 26 done, accu_1 = 0.246928, accu_10 = 0.606736
2021-08-28 14:31:46,065 epoch 27 done, accu_1 = 0.246700, accu_10 = 0.608330
2021-08-28 14:33:40,786 epoch 28 done, accu_1 = 0.247610, accu_10 = 0.608102
2021-08-28 14:35:36,984 epoch 29 done, accu_1 = 0.248293, accu_10 = 0.608557
2021-08-28 14:37:30,755 epoch 30 done, accu_1 = 0.249659, accu_10 = 0.609923
2021-08-28 14:39:27,056 epoch 31 done, accu_1 = 0.250114, accu_10 = 0.611288
2021-08-28 14:41:26,079 epoch 32 done, accu_1 = 0.250114, accu_10 = 0.611971
2021-08-28 14:43:20,147 epoch 33 done, accu_1 = 0.250569, accu_10 = 0.611971
2021-08-28 14:45:18,058 epoch 34 done, accu_1 = 0.252390, accu_10 = 0.612881
2021-08-28 14:47:14,704 epoch 35 done, accu_1 = 0.253755, accu_10 = 0.613109
2021-08-28 14:49:09,601 epoch 36 done, accu_1 = 0.255348, accu_10 = 0.613564
2021-08-28 14:51:05,731 epoch 37 done, accu_1 = 0.256486, accu_10 = 0.614019
2021-08-28 14:53:00,177 epoch 38 done, accu_1 = 0.257624, accu_10 = 0.614474
2021-08-28 14:54:56,573 epoch 39 done, accu_1 = 0.257852, accu_10 = 0.615840
2021-08-28 14:56:49,484 epoch 40 done, accu_1 = 0.258079, accu_10 = 0.615385
2021-08-28 14:58:36,339 epoch 41 done, accu_1 = 0.258990, accu_10 = 0.616750
2021-08-28 15:00:33,167 epoch 42 done, accu_1 = 0.258990, accu_10 = 0.617660
2021-08-28 15:02:27,268 epoch 43 done, accu_1 = 0.259445, accu_10 = 0.618116
2021-08-28 15:04:24,627 epoch 44 done, accu_1 = 0.259445, accu_10 = 0.618571
2021-08-28 15:06:20,517 epoch 45 done, accu_1 = 0.260355, accu_10 = 0.618798
2021-08-28 15:08:11,681 epoch 46 done, accu_1 = 0.260355, accu_10 = 0.619254
2021-08-28 15:10:06,464 epoch 47 done, accu_1 = 0.261038, accu_10 = 0.620619
2021-08-28 15:12:04,820 epoch 48 done, accu_1 = 0.261721, accu_10 = 0.620391
2021-08-28 15:14:00,273 epoch 49 done, accu_1 = 0.261948, accu_10 = 0.620619
2021-08-29 10:15:37,636 epoch 1 done, accu_1 = 0.207328, accu_10 = 0.568958
2021-08-29 10:17:34,805 epoch 2 done, accu_1 = 0.232362, accu_10 = 0.597633
2021-08-29 10:19:49,726 epoch 3 done, accu_1 = 0.241466, accu_10 = 0.604461
2021-08-29 10:22:00,313 epoch 4 done, accu_1 = 0.243059, accu_10 = 0.605826
2021-08-29 10:23:48,375 epoch 5 done, accu_1 = 0.244197, accu_10 = 0.606281
2021-08-29 10:25:41,229 epoch 6 done, accu_1 = 0.244197, accu_10 = 0.605826
2021-08-29 10:27:30,420 epoch 7 done, accu_1 = 0.244424, accu_10 = 0.605826
2021-08-29 10:29:26,431 epoch 8 done, accu_1 = 0.244197, accu_10 = 0.605826
2021-08-29 10:31:26,460 epoch 9 done, accu_1 = 0.243969, accu_10 = 0.605826
2021-08-29 10:33:14,897 epoch 10 done, accu_1 = 0.243969, accu_10 = 0.605826
2021-08-29 10:35:13,927 epoch 11 done, accu_1 = 0.243514, accu_10 = 0.605599
2021-08-29 10:37:13,454 epoch 12 done, accu_1 = 0.243514, accu_10 = 0.605599
2021-08-29 10:39:07,593 epoch 13 done, accu_1 = 0.243514, accu_10 = 0.605599
2021-08-29 10:41:00,774 epoch 14 done, accu_1 = 0.244424, accu_10 = 0.606054
2021-08-29 10:42:51,238 epoch 15 done, accu_1 = 0.244424, accu_10 = 0.606054
2021-08-29 10:44:38,240 epoch 16 done, accu_1 = 0.244424, accu_10 = 0.606054
2021-08-29 10:46:12,173 epoch 17 done, accu_1 = 0.244197, accu_10 = 0.605826
2021-08-29 10:48:03,208 epoch 18 done, accu_1 = 0.244197, accu_10 = 0.605826
2021-08-29 10:49:58,933 epoch 19 done, accu_1 = 0.244879, accu_10 = 0.606054
2021-08-29 10:51:53,766 epoch 20 done, accu_1 = 0.244879, accu_10 = 0.605826
2021-08-29 10:53:50,565 epoch 21 done, accu_1 = 0.246245, accu_10 = 0.606509
2021-08-29 12:34:17,960 epoch 1 done, accu_1 = 0.207328, accu_10 = 0.568958
2021-08-29 14:43:53,454 epoch 1 done, accu_1 = 0.375284, accu_10 = 0.640419
2021-08-29 14:46:25,174 epoch 2 done, accu_1 = 0.389395, accu_10 = 0.640191
2021-08-29 14:48:49,596 epoch 3 done, accu_1 = 0.329540, accu_10 = 0.651570
2021-08-29 14:51:23,391 epoch 4 done, accu_1 = 0.392126, accu_10 = 0.653163
2021-08-29 14:53:58,557 epoch 5 done, accu_1 = 0.407374, accu_10 = 0.660218
2021-08-29 14:56:27,088 epoch 6 done, accu_1 = 0.401684, accu_10 = 0.659308
2021-08-29 14:59:02,324 epoch 7 done, accu_1 = 0.424215, accu_10 = 0.660674
2021-08-29 15:01:42,507 epoch 8 done, accu_1 = 0.421484, accu_10 = 0.659308
2021-08-29 15:04:18,093 epoch 9 done, accu_1 = 0.422167, accu_10 = 0.660901
2021-08-29 15:06:54,834 epoch 10 done, accu_1 = 0.421029, accu_10 = 0.646336
2021-08-29 15:09:30,520 epoch 11 done, accu_1 = 0.431497, accu_10 = 0.664998
2021-08-29 15:12:02,467 epoch 12 done, accu_1 = 0.431497, accu_10 = 0.662722
